   mean: 0.85286, std: 0.00557, params: {'subsample': 0.85, 'colsample_bytree': 0.75}, 
   mean: 0.85607, std: 0.00382, params: {'subsample': 0.9, 'colsample_bytree': 0.75}, 
   mean: 0.85607, std: 0.00540, params: {'subsample': 0.95, 'colsample_bytree': 0.75}] {'subsample': 0.95, 'colsample_bytree': 0.6} 0.856668467735

[mean: 0.85214, std: 0.00555, params: {'subsample': 0.8, 'colsample_bytree': 0.5}, 
mean: 0.85619, std: 0.00664, params: {'subsample': 0.85, 'colsample_bytree': 0.5}, 
mean: 0.85274, std: 0.00641, params: {'subsample': 0.9, 'colsample_bytree': 0.5}, 
mean: 0.85440, std: 0.00628, params: {'subsample': 0.95, 'colsample_bytree': 0.5}, 
mean: 0.85286, std: 0.00549, params: {'subsample': 1.0, 'colsample_bytree': 0.5}, 
 mean: 0.85226, std: 0.00734, params: {'subsample': 0.8, 'colsample_bytree': 0.6}, 
 mean: 0.85393, std: 0.00559, params: {'subsample': 0.85, 'colsample_bytree': 0.6}, 
 mean: 0.85357, std: 0.00574, params: {'subsample': 0.9, 'colsample_bytree': 0.6}, 
 mean: 0.85476, std: 0.00656, params: {'subsample': 0.95, 'colsample_bytree': 0.6}, 
 mean: 0.85381, std: 0.00492, params: {'subsample': 1.0, 'colsample_bytree': 0.6}, 
  mean: 0.85095, std: 0.00639, params: {'subsample': 0.8, 'colsample_bytree': 0.7}, 
  mean: 0.85369, std: 0.00416, params: {'subsample': 0.85, 'colsample_bytree': 0.7}, 
  mean: 0.85286, std: 0.00494, params: {'subsample': 0.9, 'colsample_bytree': 0.7}, 
  mean: 0.85488, std: 0.00607, params: {'subsample': 0.95, 'colsample_bytree': 0.7}, 
  mean: 0.85405, std: 0.00341, params: {'subsample': 1.0, 'colsample_bytree': 0.7}, 
   mean: 0.85274, std: 0.00398, params: {'subsample': 0.8, 'colsample_bytree': 0.8}, 
   mean: 0.85131, std: 0.00545, params: {'subsample': 0.85, 'colsample_bytree': 0.8}, 
   mean: 0.85298, std: 0.00643, params: {'subsample': 0.9, 'colsample_bytree': 0.8}, 
   mean: 0.85286, std: 0.00439, params: {'subsample': 0.95, 'colsample_bytree': 0.8},
   mean: 0.85191, std: 0.00574, params: {'subsample': 1.0, 'colsample_bytree': 0.8}, 
    mean: 0.85155, std: 0.00709, params: {'subsample': 0.8, 'colsample_bytree': 0.9}, 
    mean: 0.85214, std: 0.00270, params: {'subsample': 0.85, 'colsample_bytree': 0.9}, 
    mean: 0.85226, std: 0.00518, params: {'subsample': 0.9, 'colsample_bytree': 0.9}, 
    mean: 0.85203, std: 0.00753, params: {'subsample': 0.95, 'colsample_bytree': 0.9}, 
    mean: 0.85357, std: 0.00570, params: {'subsample': 1.0, 'colsample_bytree': 0.9}, 
     mean: 0.85012, std: 0.00678, params: {'subsample': 0.8, 'colsample_bytree': 1.0}, 
     mean: 0.85131, std: 0.00507, params: {'subsample': 0.85, 'colsample_bytree': 1.0}, 
     mean: 0.85286, std: 0.00516, params: {'subsample': 0.9, 'colsample_bytree': 1.0}, 
     mean: 0.85417, std: 0.00547, params: {'subsample': 0.95, 'colsample_bytree': 1.0}, 
     mean: 0.85369, std: 0.00620, params: {'subsample': 1.0, 'colsample_bytree': 1.0}] {'subsample': 0.85, 'colsample_bytree': 0.5} 0.856190739475
